imgName,subId,response,rt,nClicks,gender,income,education,congruency,valueDiff,saliencyLocation,correctness
img_27,5ce998fda20e6000170c5ce8,Left,1.798,1,Female,50000,High School Diploma or equivalent,1,4,1,1
img_27,5e8222aec6db759394a891f4,Left,1.757,1,Female,10000,Master's Degree,1,4,1,1
img_27,59d7a9a250f88f000161eb07,Left,4.088,1,Male,20000,Master's Degree,1,4,1,1
img_27,5f204b5558c81f30e9860972,Left,0,0,Female,5000,Bachelor's Degree,1,4,1,
img_27,5b910e2aa067840001b100af,Left,3.259,1,Male,40000,Associate's Degree,1,4,1,1
img_27,5da5a0f915b62c00141f609a,Left,1.842,1,Female,150000,High School Diploma or equivalent,1,4,1,1
img_27,5ad2d9fafb109b0001a32749,Left,6.779,2,Female,40000,Associate's Degree,1,4,1,1
img_27,5f1e174460bf5d7ad7a63b8e,Left,1.82,1,Male,NaN,High School Diploma or equivalent,1,4,1,1
img_27,5d62f080d556f20001807aa2,Left,2.387,1,Male,35000,Master's Degree,1,4,1,1
img_27,5f0f39b34102af025bd36ea5,Left,0,0,Male,150000,Master's Degree,1,4,1,
img_27,5ee24dabbd4b2a3393438be3,Right,4.136,1,Male,30000,High School Diploma or equivalent,1,4,1,0
img_27,5ecfdd84dc64e1061b97e321,Left,1.426,1,Male,30000,High School Diploma or equivalent,1,4,1,1
img_27,5f033543945c554f816f6ad7,Left,3.501,1,Female,75000,Bachelor's Degree,1,4,1,1
img_27,5b69032cecb6340001b0cc05,Left,2.222,1,Male,5300,Bachelor's Degree,1,4,1,1
img_27,5eb71d89ed8104645e640ad7,Left,2.22,1,Female,20000,High School Diploma or equivalent,1,4,1,1
img_27,5f136401b1f46a36f39a8c72,Right,9.052,1,Female,3087,High School Diploma or equivalent,1,4,1,0
img_27,5739ae9d12d1d8000735d6bb,Left,2.615,1,Female,12000,High School Diploma or equivalent,1,4,1,1
img_27,5c5403d7114ab80001e4bfe7,Left,3.671,1,Male,110000,Bachelor's Degree,1,4,1,1
img_27,5d510a7e8c23ee000140b64a,Left,3.154,1,Male,30000,Bachelor's Degree,1,4,1,1
img_27,5e9bd025eb6b380e1d66d04c,Left,2.264,1,Male,19000,Bachelor's Degree,1,4,1,1
img_27,5c9e3d5553de260014ce7f98,Left,7.858,2,Male,30000,Bachelor's Degree,1,4,1,1
img_27,5c6e01f1a8f71b0001c1ed34,,0,0,Male,35000,Bachelor's Degree,1,4,1,
img_27,5efd440689469118b2540378,Left,3.02,3,Female,NaN,High School Diploma or equivalent,1,4,1,1
img_27,5df1a3387caa1e0c69dca179,Left,1.118,1,Male,12000,High School Diploma or equivalent,1,4,1,1
img_27,5ea6d737a09cad065e46bc83,Left,3.559,1,Male,50000,High School Diploma or equivalent,1,4,1,1
img_27,5c120a94e32f860001657bd1,Left,7.248,1,Male,130000,High School Diploma or equivalent,1,4,1,1
img_27,5de5157820c5aa09b7a53b89,Left,3.276,2,Male,10000,High School Diploma or equivalent,1,4,1,1
img_27,5c041a0ce0483e0001f21370,Left,0,0,Female,250000,Master's Degree,1,4,1,
img_27,5e8cb59cf38a3b057a543c1e,Left,3.453,2,Male,70000,Master's Degree,1,4,1,1
img_27,5ec85e9240ce74335fcd7b64,Left,3.316,1,Male,67000,Bachelor's Degree,1,4,1,1
img_27,5b689fa3cda8590001db3c99,Left,2.17,1,Female,25000,Bachelor's Degree,1,4,1,1
img_27,5d474ed70f79810001c36084,Left,0,0,Male,14000,High School Diploma or equivalent,1,4,1,
img_27,5c7a8e2cc872f3001446f7b3,Left,1.891,1,Female,65000,Master's Degree,1,4,1,1
img_27,5e5e06a0394d0811996bd24a,Left,4.229,1,Female,5000,High School Diploma or equivalent,1,4,1,1
img_27,5ef1f70124605d063a917fcb,Left,2.464,1,Female,150000,Bachelor's Degree,1,4,1,1
img_27,5ecb01cced3da428165efe9c,Left,0.845,1,Female,30000,Bachelor's Degree,1,4,1,1
img_27,5d293924af9e43001b1e4e22,Left,6.135,1,Male,50000,High School Diploma or equivalent,1,4,1,1
img_27,5ea664529b1fb66807ced077,Left,0,0,Male,15000,High School Diploma or equivalent,1,4,1,
img_27,5bf50a11499f2f0001d98ddf,Left,5.353,1,Male,20000,High School Diploma or equivalent,1,4,1,1
img_27,5f1ca7a85e7391107f8d7562,Left,1.819,1,Female,229521.06,High School Diploma or equivalent,1,4,1,1
img_27,5bcd2885ac406f000177d6b0,Left,2.837,1,Male,10000,High School Diploma or equivalent,1,4,1,1
img_27,5c5a060fcb75f20001e60f78,Left,4.32,1,Male,70000,High School Diploma or equivalent,1,4,1,1
img_27,5d547cb99b7c4e0016886fdb,Left,2.405,1,Female,22000,Bachelor's Degree,1,4,1,1
img_27,5f1c56ae47b7400908bae9c9,Left,2.418,1,Male,30000,High School Diploma or equivalent,1,4,1,1
img_27,5f08dd79938b1e15c0bd56a6,Left,0,0,Female,NaN,High School Diploma or equivalent,1,4,1,
img_27,5c62fbd932207f00016bd19e,Left,3.345,2,Female,80000,Bachelor's Degree,1,4,1,1
img_27,5bd8d12abeca730001cf1926,Left,1.716,1,Male,15000,Bachelor's Degree,1,4,1,1
img_27,5ecd4b6b8ebded08f71361b1,Left,1.53,1,Female,1000,High School Diploma or equivalent,1,4,1,1
img_27,5efc96a12da8b4056d00cd93,Left,2.373,1,Male,55000,High School Diploma or equivalent,1,4,1,1
img_27,5e1d4ad0aedc2c0cd69a1278,Left,4.634,1,Male,0,Master's Degree,1,4,1,1
img_27,5c5c65ccf808d600015155ea,Left,3.041,2,Female,50000,Bachelor's Degree,1,4,1,1
img_27,5e9ce99a8035dd1cf6b23aa7,Left,0,0,Male,30000,High School Diploma or equivalent,1,4,1,
img_27,5df949909195c66d579887f4,Left,1.787,1,Male,15000,High School Diploma or equivalent,1,4,1,1
img_27,5e2df47e1996e2000a1da03f,Left,1.228,1,Male,90000,Master's Degree,1,4,1,1
img_27,5e721cdce963f7000d4d26a4,Left,3.934,3,Male,25000,Bachelor's Degree,1,4,1,1
img_27,5d40706844220d00191363da,Left,3.696,2,Female,50000,High School Diploma or equivalent,1,4,1,1
img_27,5e62d0f9ffed3206751eb55c,Left,4.878,2,Male,30000,Bachelor's Degree,1,4,1,1
img_27,5d4ca0c0112f830016026942,Left,5.254,1,Female,0,Bachelor's Degree,1,4,1,1
img_27,5d9e6e24348a610012ad4292,Left,2.357,1,Female,40000,High School Diploma or equivalent,1,4,1,1
img_27,5bf0bf413c1b1c0001ce9336,Left,5.781,1,Female,19000,Master's Degree,1,4,1,1
img_27,5e99dadcb9ea5b047f30a2c2,Left,2.344,1,Male,10000,Bachelor's Degree,1,4,1,1
img_27,5ea97c487b2a16069184abcc,Left,0,0,Female,40000,Bachelor's Degree,1,4,1,
img_27,5d54043a7f6fa40001b13299,Left,0,0,Female,35000,Master's Degree,1,4,1,
img_27,5f0f58b82ab2910f275ed21e,Left,0,0,Male,44480,High School Diploma or equivalent,1,4,1,
img_27,5ec45b4b30b4c334ecb6cf6b,Left,2.641,1,Female,0,Bachelor's Degree,1,4,1,1
img_27,5c5d6b55b7ce2100011fa04e,Left,0,0,Male,NaN,High School Diploma or equivalent,1,4,1,
flippedimg_9,5d4556c5d1f123001716bae3,Right,2.265,1,Male,3000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5dcb016991c2ba7e029b6545,Right,0,0,Female,20000,High School Diploma or equivalent,0,-4,1,
flippedimg_9,5e9886c0cb28b607b3e7f42f,Right,1.597,1,Male,200000,Associate's Degree,0,-4,1,1
flippedimg_9,5e6ff43e18d1a809cd0b836a,Right,0.038,1,Male,30000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5cf23dc994df330018876744,Right,3.833,1,Female,70000,Master's Degree,0,-4,1,1
flippedimg_9,579540d016a091000112cdf5,Right,3.72,1,Male,59000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5eea4d6485ba010cd59c2107,Right,0.747,1,Male,400000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5d92b4debda22b00179a2edf,Right,1.588,1,Male,40000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5ede038270fe0e000ab7ae54,Right,2.364,1,Male,30000,Associate's Degree,0,-4,1,1
flippedimg_9,5a910c8a6475f900019f8cbc,Left,2.597,1,Male,300000,Bachelor's Degree,0,-4,1,0
flippedimg_9,5ce998fda20e6000170c5ce8,Right,1.314,1,Female,50000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5e8222aec6db759394a891f4,Right,1.952,1,Female,10000,Master's Degree,0,-4,1,1
flippedimg_9,59d7a9a250f88f000161eb07,Right,4.454,1,Male,20000,Master's Degree,0,-4,1,1
flippedimg_9,5f204b5558c81f30e9860972,Right,0,0,Female,5000,Bachelor's Degree,0,-4,1,
