imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness,normalizedRt,income,education,gender
img_27,5f0f39b34102af025bd36ea5,Left,0,0,1,4,1,NaN,0,150000,Master's Degree,Male
img_27,5ee24dabbd4b2a3393438be3,Right,4.136,1,1,4,1,0,1.06207870578417,30000,High School Diploma or equivalent,Male
img_27,5ecfdd84dc64e1061b97e321,Left,1.426,1,1,4,1,1,0.417154224198455,30000,High School Diploma or equivalent,Male
img_27,5f033543945c554f816f6ad7,Left,3.501,1,1,4,1,1,0.892338278024163,75000,Bachelor's Degree,Female
img_27,5b69032cecb6340001b0cc05,Left,2.222,1,1,4,1,1,0.412516592560963,5300,Bachelor's Degree,Male
img_27,5eb71d89ed8104645e640ad7,Left,2.22,1,1,4,1,1,0.51086673373902,20000,High School Diploma or equivalent,Female
img_27,5f136401b1f46a36f39a8c72,Right,9.052,1,1,4,1,0,1.40321744801375,3087,High School Diploma or equivalent,Female
img_27,5739ae9d12d1d8000735d6bb,Left,2.615,1,1,4,1,1,0.976570888029706,12000,High School Diploma or equivalent,Female
img_27,5c5403d7114ab80001e4bfe7,Left,3.671,1,1,4,1,1,0.756587421811399,110000,Bachelor's Degree,Male
img_27,5d510a7e8c23ee000140b64a,Left,3.154,1,1,4,1,1,1.06336710439811,30000,Bachelor's Degree,Male
img_27,5e9bd025eb6b380e1d66d04c,Left,2.264,1,1,4,1,1,0.351581674954356,19000,Bachelor's Degree,Male
img_27,5c9e3d5553de260014ce7f98,Left,7.858,2,1,4,1,1,1.17966112890478,30000,Bachelor's Degree,Male
img_27,5c6e01f1a8f71b0001c1ed34,,0,0,1,4,1,NaN,0,35000,Bachelor's Degree,Male
img_27,5efd440689469118b2540378,Left,3.02,3,1,4,1,1,0.757029216815674,20000,High School Diploma or equivalent,Female
img_27,5df1a3387caa1e0c69dca179,Left,1.118,1,1,4,1,1,0.251417992982784,12000,High School Diploma or equivalent,Male
img_27,5ea6d737a09cad065e46bc83,Left,3.559,1,1,4,1,1,0.96131743976775,50000,High School Diploma or equivalent,Male
img_27,5c120a94e32f860001657bd1,Left,7.248,1,1,4,1,1,1.23901671852029,130000,High School Diploma or equivalent,Male
img_27,5de5157820c5aa09b7a53b89,Left,3.276,2,1,4,1,1,1.21079962301111,10000,High School Diploma or equivalent,Male
img_27,5c041a0ce0483e0001f21370,Left,0,0,1,4,1,NaN,0,250000,Master's Degree,Female
img_27,5e8cb59cf38a3b057a543c1e,Left,3.453,2,1,4,1,1,0.645153937316746,70000,Master's Degree,Male
img_27,5ec85e9240ce74335fcd7b64,Left,3.316,1,1,4,1,1,0.543459556021732,67000,Bachelor's Degree,Male
img_27,5b689fa3cda8590001db3c99,Left,2.17,1,1,4,1,1,0.499448880026165,25000,Bachelor's Degree,Female
img_27,5d474ed70f79810001c36084,Left,0,0,1,4,1,NaN,0,14000,High School Diploma or equivalent,Male
img_27,5c7a8e2cc872f3001446f7b3,Left,1.891,1,1,4,1,1,0.406205601469987,65000,Master's Degree,Female
img_27,5e5e06a0394d0811996bd24a,Left,4.229,1,1,4,1,1,0.626518518518519,5000,High School Diploma or equivalent,Female
img_27,5ef1f70124605d063a917fcb,Left,2.464,1,1,4,1,1,0.621829652996845,150000,Bachelor's Degree,Female
